rosbagTimestamp,lane_markings,header,seq,stamp,secs,nsecs,frame_id,look_index,timeStamp,frameNum,host_left,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,host_right,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,neighbor_left,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,neighbor_right,state,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,quality,id,track_status,quality,attr,color,continuity,width,host_lane_width,left_lane_width,right_lane_width,ego_lane_change_status,road_edges,Header,seq,stamp,secs,nsecs,frame_id,look_index,left_road_edge,quality,reserved,type,id,traceStatus,roadEdgeCurve,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,right_road_edge,quality,reserved,type,id,traceStatus,roadEdgeCurve,long_distance_to_end,curve,model_degree,c0_position,c1_heading_angle,c2_curvature,c3_curvature_derivative,start_point,x,y,error_flag,detected_edge_cnt
1620888970166103860,,,0,,0,0,'',0,0.0,0,,,37.5499992371,,0,1.99979996681,-0.0304659996182,0.00064400001429,-5.86799978919e-06,,4.86999988556,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.23169994354,-0.0152839999646,0.000192999999854,-3.85800012737e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.2900009155,,0,2.4061999321,-0.0112629998475,8.80000006873e-05,-4.31699982073e-06,,0.0,0.0,,1,0,0,196,2,,37.9599990845,,0,-5.59759998322,-0.0550389997661,0.00161000003573,-1.15929997264e-05,,6.07999992371,0.0,0,0
1620888970216071756,,,0,,0,0,'',0,0.0,0,,,40.6100006104,,0,1.99520003796,-0.0272969994694,0.000589000002947,-6.01600004302e-06,,4.25,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.23160004616,-0.0153769999743,0.000182999996468,-3.82500002161e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,38.6699981689,,0,2.38280010223,-0.0142559995875,8.49999996717e-05,-1.88199999229e-06,,0.0,0.0,,1,0,0,196,2,,36.8899993896,,0,-5.62890005112,-0.0530820004642,0.00153500004672,-1.51300000653e-05,,5.44999980927,0.0,0,0
1620888970265986122,,,0,,0,0,'',0,0.0,0,,,40.6100006104,,0,1.98660004139,-0.0275420006365,0.000583000015467,-6.01600004302e-06,,4.25,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.2365000248,-0.0158740002662,0.000178999995114,-3.82500002161e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,38.6699981689,,0,2.38280010223,-0.0142559995875,8.49999996717e-05,-1.88199999229e-06,,0.0,0.0,,1,0,0,196,2,,36.8899993896,,0,-5.62890005112,-0.0530820004642,0.00153500004672,-1.51300000653e-05,,5.44999980927,0.0,0,0
1620888970316051045,,,0,,0,0,'',0,0.0,0,,,40.6100006104,,0,1.98230004311,-0.0276670008898,0.000579999992624,-6.01600004302e-06,,4.25,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.23899996281,-0.0161240007728,0.000178000002052,-3.82500002161e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,38.6699981689,,0,2.38280010223,-0.0142559995875,8.49999996717e-05,-1.88199999229e-06,,0.0,0.0,,1,0,0,196,2,,36.8899993896,,0,-5.62890005112,-0.0530820004642,0.00153500004672,-1.51300000653e-05,,5.44999980927,0.0,0,0
1620888970366125594,,,0,,0,0,'',0,0.0,0,,,40.5499992371,,0,1.96770000458,-0.0269399993122,0.000547999981791,-5.35299977855e-06,,3.6400001049,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.25859999657,-0.0168869998306,0.000178999995114,-3.26800000039e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,38.0499992371,,0,2.35540008545,-0.0154809998348,8.39999993332e-05,1.59299997904e-06,,0.0,0.0,,1,0,0,196,2,,37.3899993896,,0,-5.66009998322,-0.0504809990525,0.00148199999239,-1.66110003192e-05,,4.82999992371,0.0,0,0
1620888970416064233,,,0,,0,0,'',0,0.0,0,,,40.5499992371,,0,1.9593000412,-0.0273349992931,0.000541999994311,-5.35299977855e-06,,3.6400001049,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.26390004158,-0.0175100006163,0.00017499999376,-3.26800000039e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,38.0499992371,,0,2.35540008545,-0.0154809998348,8.39999993332e-05,1.59299997904e-06,,0.0,0.0,,1,0,0,196,2,,37.3899993896,,0,-5.66009998322,-0.0504809990525,0.00148199999239,-1.66110003192e-05,,4.82999992371,0.0,0,0
1620888970466131829,,,0,,0,0,'',0,0.0,0,,,40.2900009155,,0,1.93570005894,-0.0286759994924,0.000529000011738,-5.78600020162e-06,,3.02999997139,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.27069997787,-0.0180389992893,0.000171000006958,-2.85999999505e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.6800003052,,0,2.3436999321,-0.015685999766,8.29999989946e-05,-2.18300010602e-06,,0.0,0.0,,1,0,0,196,2,,38.8199996948,,0,-5.69140005112,-0.0492050014436,0.00145700003486,-1.4440999621e-05,,4.21000003815,0.0,0,0
1620888970516078475,,,0,,0,0,'',0,0.0,0,,,40.2900009155,,0,1.92680001259,-0.0292690005153,0.000523000024259,-5.78600020162e-06,,3.02999997139,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.27639997005,-0.0188510008156,0.000167999998666,-2.85999999505e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,39.6800003052,,0,2.3436999321,-0.015685999766,8.29999989946e-05,-2.18300010602e-06,,0.0,0.0,,1,0,0,196,2,,38.8199996948,,0,-5.69140005112,-0.0492050014436,0.00145700003486,-1.4440999621e-05,,4.21000003815,0.0,0,0
1620888970566105179,,,0,,0,0,'',0,0.0,0,,,41.3100013733,,0,1.91670000553,-0.0283059999347,0.000507000018843,-5.53400013814e-06,,2.41000008583,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.29970002174,-0.0182600002736,0.00017200000002,-2.71099997917e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.3699989319,,0,2.28900003433,-0.0173150002956,8.09999983176e-05,2.50999988793e-07,,0.0,0.0,,1,0,0,196,2,,38.4399986267,,0,-5.72259998322,-0.0500390008092,0.0014459999511,-1.58389993885e-05,,3.58999991417,0.0,0,0
1620888970615993577,,,0,,0,0,'',0,0.0,0,,,41.3100013733,,0,1.90369999409,-0.0286400001496,0.000499000016134,-5.53400013814e-06,,2.41000008583,2.0,,197,2,1,,0,1,0.0,,,50.0,,0,-1.30820000172,-0.018897999078,0.000167999998666,-2.71099997917e-06,,0.0,-2.0,,198,2,1,,0,2,0.0,,,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0,0,,0,0,0.0,,,0.0,,0,-0.0,-0.0,-0.0,-0.0,,0.0,-5.625,,0,2,1,,0,1,0.0,0.0,0.0,0.0,0,,,0,,0,0,'',0,,1,0,0,189,2,,40.3699989319,,0,2.28900003433,-0.0173150002956,8.09999983176e-05,2.50999988793e-07,,0.0,0.0,,1,0,0,196,2,,38.4399986267,,0,-5.72259998322,-0.0500390008092,0.0014459999511,-1.58389993885e-05,,3.58999991417,0.0,0,0
